,superkingdom,phylum,class,order,family,genus,species
2055,2.0,201174.0,1760.0,85007.0,85026.0,2053.0,2055.0
645,2.0,1224.0,1236.0,135624.0,84642.0,642.0,645.0
51589,2157.0,28890.0,183963.0,2235.0,1963268.0,2237.0,51589.0
1642,2.0,1239.0,91061.0,1385.0,186820.0,1637.0,1642.0
40324,2.0,1224.0,1236.0,135614.0,32033.0,40323.0,40324.0
95486,2.0,1224.0,28216.0,80840.0,119060.0,32008.0,95486.0
152480,2.0,1224.0,28216.0,80840.0,119060.0,32008.0,152480.0
28450,2.0,1224.0,28216.0,80840.0,119060.0,32008.0,28450.0
102235,2.0,1117.0,3028117.0,1118.0,2815910.0,102234.0,102235.0
32046,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,32046.0
2024383,2.0,200783.0,187857.0,32069.0,64898.0,75905.0,2024383.0
138072,2.0,1224.0,1236.0,91347.0,543.0,568987.0,138072.0
1392,2.0,1239.0,91061.0,1385.0,186817.0,1386.0,1392.0
232348,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,232348.0
340407,2.0,1239.0,91061.0,1385.0,186817.0,129337.0,340407.0
471223,2.0,1239.0,91061.0,1385.0,186817.0,129337.0,471223.0
544556,2.0,1239.0,91061.0,1385.0,186817.0,129337.0,544556.0
550542,2.0,1239.0,91061.0,1385.0,186817.0,129337.0,550542.0
1426,2.0,1239.0,91061.0,1385.0,186817.0,1906945.0,1426.0
33941,2.0,1239.0,91061.0,1385.0,186817.0,129337.0,33941.0
632,2.0,1224.0,1236.0,91347.0,1903411.0,629.0,632.0
63612,2.0,1224.0,1236.0,91347.0,2812006.0,84565.0,63612.0
75985,2.0,1224.0,1236.0,135625.0,712.0,75984.0,75985.0
274,2.0,1297.0,188787.0,68933.0,188786.0,270.0,274.0
1307,2.0,1239.0,91061.0,186826.0,1300.0,1301.0,1307.0
1334,2.0,1239.0,91061.0,186826.0,1300.0,1301.0,1334.0
29292,2157.0,28890.0,183968.0,2258.0,2259.0,2260.0,29292.0
47253,2.0,1117.0,3028117.0,2881377.0,1890438.0,47251.0,47253.0
1184,2.0,1117.0,3028117.0,2881377.0,1890438.0,47251.0,1184.0
292,2.0,1224.0,28216.0,80840.0,119060.0,32008.0,292.0
269667,2157.0,28889.0,183924.0,2281.0,118883.0,12914.0,269667.0
1613,2.0,1239.0,91061.0,186826.0,33958.0,2742598.0,1613.0
1351,2.0,1239.0,91061.0,186826.0,81852.0,1350.0,1351.0
166310,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,166310.0
