,species_taxid,prev_index,isolation_source,1772,562,287,28901,1131,32051,1280,1358,76594,666,1396,1747,1219,1785,1313,1351,1639,670,28141,1502,1773,1428,1307,470,552,95486,152480,1423,305,40324,197,645,28108,314275,29460,444163,29459,36855,52132,235,29461,51589,632,573,29449,1245,33968,1464,1465,28450,83555,60550,85991,83557,83554,83556,37326,1833,1823,33008,2055,410332,339863,89053,1824,37330,155892,53249,1392,1359,294,2881428,1582,550542,544556,471223,340407,1426,33941,623,624,232348,2371,1496,630,599,274,166314,663,672,198252,56636,43080,1404,1308,1247,1220,210,36809,1314,1916,54571,339,346,56449,3038074,1525218,244363,192170,166321,67825,34021,29497,2756,1821,1596,1584,1409,1408,1061,959,691,678,669,615,317,303,1282,29388,550,1902,239,907046,728059,728064,269667,518068,1126,46610,1288,29387,1879286,1378061,313588,155978,138072,67780,63612,59932,47715,40214,39775,29471,28447,2287,1642,1597,1591,1352,1311,1290,996,817,714,644,621,554,549,384,382,358,306,292,34,1397108,1890673,1055158,1870901,361,1183401,35749,1128108,1303,712622,12915,563177,314564,315458,314263,314264,103690,264691,47853,219305,145262,145263,32046,102235,2248,64713,1184,47253,2108,2148,2133,2134,2024383,1960103,1926584,1914291,1905321,1904862,1884818,1871047,1348393,1497796,1158105,1089759,1089753,1089748,1089732,1089726,1089709,1034015,868811,936347,767892,728063,728062,728061,687692,687691,676248,674516,634157,641420,546367,505352,487316,459558,413503,413502,387092,330834,314855,314913,305430,280483,267375,255252,232353,232352,215813,207809,166322,180837,166313,166310,161398,151262,137591,110662,109790,106654,92706,96345,89184,87883,85698,82380,80866,79967,75985,69218,59843,67384,56730,56460,55601,52598,51367,45972,41673,36822,35743,35783,35742,34085,34009,33959,33913,33903,33059,29442,29292,29385,28896,28442,28229,28169,28037,13769,13689,2434,2242,2288,2162,2111,2061,1931,1912,1888,1829,1810,1681,1764,1667,1613,1509,1491,1462,1405,1334,1304,1160,1302,576,569,564,563,558,548,396,329,24,192,1062,738,685,680,674,668,647,588,582,584
0,,,,Mycolicibacterium smegmatis,Escherichia coli,Pseudomonas aeruginosa,Salmonella enterica,Synechococcus sp.,Synechococcus sp. WH 7803,Staphylococcus aureus,Lactococcus lactis,Cellulophaga baltica,Vibrio cholerae,Bacillus cereus,Cutibacterium acnes,Prochlorococcus marinus,Mycobacterium sp.,Streptococcus pneumoniae,Enterococcus faecalis,Listeria monocytogenes,Vibrio parahaemolyticus,Cronobacter sakazakii,Clostridium perfringens,Mycobacterium tuberculosis,Bacillus thuringiensis,Streptococcus suis,Acinetobacter baumannii,Erwinia amylovora,Burkholderia cenocepacia,Burkholderia ambifaria,Bacillus subtilis,Ralstonia solanacearum,Stenotrophomonas maltophilia,Campylobacter jejuni,Aeromonas salmonicida,Alteromonas macleodii,Alteromonas mediterranea,Brucella neotomae,Brucella microti,Brucella melitensis,Brucella canis,Brucella sp.,Brucella abortus,Brucella suis,Haloarcula hispanica,Yersinia pestis,Klebsiella pneumoniae,Rhizobium etli,Leuconostoc mesenteroides,Leuconostoc pseudomesenteroides,Paenibacillus larvae,Brevibacillus laterosporus,Burkholderia pseudomallei,Chlamydia abortus,Burkholderia pyrrocinia,Chlamydia pecorum,Chlamydia caviae,Chlamydia psittaci,Chlamydia felis,Nocardia brasiliensis,Rhodococcus erythropolis,Nocardia otitidiscaviarum,Rhodococcus globerulus,Gordonia terrae,Gordonia malaquae,Gordonia australis,Gordonia amicalis,Nocardia asteroides,Nocardia nova,Caulobacter vibrioides,Pseudoalteromonas sp.,Bacillus anthracis,Lactococcus cremoris,Pseudomonas fluorescens,Parasynechococcus marenigrum,Lacticaseibacillus casei,Geobacillus sp. Y412MC52,Geobacillus sp. Y412MC61,Geobacillus sp. WCH70,Geobacillus sp. 6k51,Parageobacillus thermoglucosidasius,Geobacillus thermoleovorans,Shigella flexneri,Shigella sonnei,Synechococcus sp. CB0101,Xylella fastidiosa,Clostridioides difficile,Yersinia enterocolitica,Salmonella sp.,Thermus thermophilus,Synechococcus sp. WH 8109,Vibrio alginolyticus,Vibrio vulnificus,Candidatus Pelagibacter ubique,Aeropyrum pernix,Sulfolobus islandicus,Priestia megaterium,Streptococcus thermophilus,Oenococcus oeni,Prochlorococcus sp.,Helicobacter pylori,Mycobacteroides abscessus,Streptococcus pyogenes,Streptomyces lividans,Streptomyces venezuelae,Xanthomonas campestris,Xanthomonas citri,Xanthomonas bromi,Wolbachia endosymbiont,Sulfitobacter sp. CB2047,Haloarcula californiae,Cellulophaga sp. MM#3,Synechococcus sp. WH 8017,Citrobacter rodentium,Candidatus Liberibacter asiaticus,Vibrio splendidus,Brochothrix thermosphacta,Nocardia sp.,Lactobacillus gasseri,Lactobacillus delbrueckii,Bacillus sp. (in: firmicutes),Bacillus pumilus,Rhodobacter capsulatus,Bdellovibrio bacteriovorus,Vibrio natriegens,Vibrio sp.,Vibrio harveyi,Serratia marcescens,Pseudomonas syringae,Pseudomonas putida,Staphylococcus epidermidis,Staphylococcus capitis,Enterobacter cloacae,Streptomyces coelicolor,Flavobacterium sp.,Flavobacterium sp. B183,Aeromonas sp. IS4,Vibrio sp. YD38,Acidianus convivator,Acidianus uzoniensis,Microcystis aeruginosa,Geobacter sp.,Staphylococcus xylosus,Staphylococcus sp.,Halorubrum sp.,Phormidium sp. MIS-PhA,Croceibacter atlanticus,Acaryochloris marina,Candidatus Hamiltonella defensa,Edwardsiella ictaluri,Sodalis glossinidius,Synechococcus sp. WH 8101,Lacticaseibacillus rhamnosus,Acinetobacter johnsonii,Methylomicrobium album,Pectobacterium atrosepticum,Clavibacter michiganensis,Saccharolobus solfataricus,Listeria innocua,Lacticaseibacillus paracasei,Lactobacillus sp.,Enterococcus faecium,Streptococcus agalactiae,Staphylococcus hominis,Flavobacterium columnare,Bacteroides fragilis,Aggregatibacter actinomycetemcomitans,Aeromonas hydrophila,Shigella boydii,Pectobacterium carotovorum,Pantoea agglomerans,Rhizobium leguminosarum,Sinorhizobium meliloti,Agrobacterium tumefaciens,Pseudomonas sp.,Burkholderia cepacia,Myxococcus xanthus,Celeribacter marinus,Celeribacter sp.,Loktanella sp. CB 2051,Loktanella sp.,Agrobacterium sp.,Agrobacterium fabacearum,Thermococcus sp.,Thermococcus prieurii,Streptococcus oralis,Streptococcus sp. oral taxon 058,Acidianus infernus,Acidianus hospitalis,Acidianus pozzuoliensis,Acidianus sp. F28,Roseovarius nubinhibens,Roseovarius sp. 217,Nostoc sp. PCC 7120 = FACHB-418,Trichormus variabilis,Micromonospora carbonacea,Micromonospora sp. ATCC 39149,Methanothermobacter thermautotrophicus,Methanothermobacter marburgensis,Synechococcus elongatus,Cyanobacterium stanieri,Halorubrum saccharovorum,Halorubrum coriense,Leptolyngbya boryana,Leptolyngbya foveolarum,Mycoplasma sp.,Acholeplasma laidlawii,Spiroplasma citri,Spiroplasma melliferum,Thermocrinis sp.,Listeria sp.,Nitrincola sp.,Dickeya sp.,Salicola sp.,Marinomonas sp.,Escherichia sp.,Chryseobacterium sp.,Pseudoalteromonas sp. H105,Klebsiella sp. 390,Halorubrum sp. SS7-4,Halorubrum sp. s5a-3,Halorubrum sp. SS5-4,Halorubrum sp. SP3-3,Halogranum sp. SS5-1,Halogeometricum sp. CG-9,Salisaeta sp. SP9-1,Nitrososphaera viennensis,Vibrio sp. LL003.15,Psychrobacter sp. MV2,Candidatus Puniceispirillum marinum,Vibrio sp. YD21,Pseudoalteromonas sp. YD6,Psychrobacter sp. OW20,Sulfolobus sp. G4T-1,Sulfolobus sp. G4ST-T-11,Thermus sp. TC4,Sulfolobus sp. G4ST-2,Halorubrum sp. PV6,Iodobacter sp. CdM7,Hafnia paralvei,marine bacterium HIMB624,Acinetobacter soli,Cellulophaga sp. NN014847,Cronobacter malonaticus,Cronobacter turicensis,Nitratiruptor sp. SB155-2,Tetrasphaera jenkinsii,Vibrio sp. 12A10,Vibrio sp. 12G05,Synechococcus sp. CB0202,Thalassotalea loyana,Pseudoalteromonas marina,Synechococcus sp. CB0208,Synechococcus sp. CB0204,Synechococcus sp. CB0201,Dinoroseobacter shibae,Sulfolobus tengchongensis,Synechococcus sp. WH 8018,Wolbachia endosymbiont of Nasonia vitripennis,Synechococcus sp. WH 8012,Synechococcus sp. WH 6501,Pseudoalteromonas phenolica,Microbacterium nematophilum,Weissella cibaria,Synechococcus sp. CC9605,Lactobacillus jensenii,Acinetobacter nosocomialis,[Brevibacterium] flavum,Flavobacterium psychrophilum,Ruegeria pomeroyi,Burkholderia multivorans,Achromobacter xylosoxidans,Microbacterium oxydans,Delftia acidovorans,Erwinia pyrifoliae,Mannheimia haemolytica,Enterobacter cancerogenus,Paenibacillus glucanolyticus,Streptomyces xanthochromogenes,Rhizobium gallicum,Xanthomonas vesicatoria,Vibrio anguillarum,Sulfitobacter sp. EE-36,Salinivibrio costicola,Staphylococcus pasteuri,Acidianus brierleyi,Gordonia rubripertincta,Halorubrum sodomense,Enterococcus sp.,Haloarcula sinaiiensis,Riemerella anatipestifer,Rhodovulum sp.,Lactobacillus johnsonii,Saccharomonospora sp.,Streptomyces avermitilis,Acidithiobacillus caldus,Pseudomonas tolaasii,Pyrococcus abyssi,Staphylococcus saprophyticus,Thermoanaerobacterium saccharolyticum,Haloarcula vallismortis,Colwellia psychrerythraea,Vibrio pelagius,Streptococcus mitis,Natrialba magadii,Sphingomonas paucimobilis,Roseobacter denitrificans,Halobacterium salinarum,Sulfolobus sp.,Methanobacterium formicicum,Metamycoplasma arthritidis,Tsukamurella paurometabola,Streptomyces sp.,Streptomyces hygroscopicus,Streptomyces albus,Rhodococcus rhodochrous,Mycolicibacterium vaccae,Bifidobacterium bifidum,Mycobacterium avium,Arthrobacter sp.,Limosilactobacillus fermentum,Clostridium sporogenes,Clostridium botulinum,Geobacillus kaustophilus,Bacillus mycoides,Streptococcus dysgalactiae,Streptococcus salivarius,Planktothrix agardhii,Streptococcus gordonii,Klebsiella sp.,Hafnia alvei,Escherichia fergusonii,Shimwellia blattae,Erwinia sp.,Klebsiella aerogenes,Rhizobium phaseoli,Ralstonia pickettii,Shewanella putrefaciens,Azospirillum brasilense,Rhodobacter sp.,Glaesserella parasuis,Vibrio diazotrophicus,Vibrio campbellii,Vibrio mimicus,Aliivibrio fischeri,Aeromonas sp.,Providencia stuartii,Morganella morganii,Proteus mirabilis
Bixzunavirus Bxz1,2006134,118,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium phage BPs,515982,315,NO INFO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosebushvirus rosebush,2006145,114,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosebushvirus godines,1982904,221,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plotvirus plot,2170099,216,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pipefishvirus pipefish,1982918,218,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pegunavirus Pg1,1986538,120,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myrnavirus myrna,2956212,344,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
