,species_taxid,prev_index,isolation_source,1308,1358,1359,1247,1587,1280,562,51669,256701,1613,1584,1582,1351,2748,273384,1896315,1639,1618,1615674,1597,1491,1354,1423,44273,29378,292733,28141,2756,2766470
0,,,,Streptococcus thermophilus,Lactococcus lactis,Lactococcus cremoris,Oenococcus oeni,Lactobacillus helveticus,Staphylococcus aureus,Escherichia coli,Tetragenococcus halophilus,Glutamicibacter arilaitensis,Limosilactobacillus fermentum,Lactobacillus delbrueckii,Lacticaseibacillus casei,Enterococcus faecalis,Carnobacterium divergens,Brevibacterium aurantiacum,Weissella sp.,Listeria monocytogenes,Liquorilactobacillus mali,Pseudomonas lactis,Lacticaseibacillus paracasei,Clostridium botulinum,Enterococcus hirae,Bacillus subtilis,Lactococcus sp.,Staphylococcus arlettae,Psychrobacter aquimaris,Cronobacter sakazakii,Brochothrix thermosphacta,Leuconostoc falkenbergense
Streptococcus phage SW23,2419644,4785,whey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus phage SW22,2419643,4784,whey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus phage SW21,2419642,4783,whey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus phage SW20,2419641,4782,whey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus phage SW2,2419640,4781,whey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus phage SW19,2419639,4780,whey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus phage SW18,2419638,4779,whey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus phage SW17,2419637,4778,whey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus phage SW16,2419636,4777,whey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus phage SW15,2419635,4776,whey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus phage SW14,2419634,4775,whey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus phage SW13,2419633,4774,whey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
