,species_taxid,prev_index,isolation_source,1464,1684,303541,1218507,1218506,1196095,1218493,29447,138072,638,1872640,337255,549,347,1873498,1392,55211,2138,1912315,158836,1560201,1510574,1465,13689,1071053,1358,689844,587,65700
0,,,,Paenibacillus larvae,Bifidobacterium asteroides,Lactobacillus apis,Lactobacillus melliventris,Lactobacillus kimbladii,Gilliamella apicola,Lactobacillus kullabergensis,Xanthomonas albilineans,Candidatus Hamiltonella defensa,Arsenophonus nasoniae,Arsenophonus sp.,Candidatus Arsenophonus arthropodicus,Pantoea agglomerans,Xanthomonas oryzae,Hafnia sp.,Bacillus anthracis,Erwinia persicina,Spiroplasma poulsonii,Morganella sp. (in: enterobacteria),Enterobacter hormaechei,Erwinia iniecta,Rahnella woolbedingensis,Brevibacillus laterosporus,Sphingomonas paucimobilis,Virgibacillus halotolerans,Lactococcus lactis,Wolbachia endosymbiont of Simulium squamosum,Providencia rettgeri,Erwinia tracheiphila
Hafnia phage Pocis76,2831174,9348,insect gut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hafnia phage Pocitis76,2900313,10576,insect gut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus phage Wip2,663238,14726,Eisenia fetida gut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus phage Wip4,663236,14712,Eisenia fetida intestinal tract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Providencia phage vB_PreS-PatoteraRojo,2761108,8424,worm farm effluent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Morganella phage Mecenats66,2900353,10583,Insect gut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lactococcus phage Nocturne116,2831179,9352,insect gut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Erwinia phage Midgardsormr38,2663326,7254,insect gut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Erwinia phage Gungnir39,2910783,10709,insect gut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Erwinia phage FBB1,2776772,8652,spotted cucumber beetle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Enterobacter phage Phc,2866804,9999,isolated from the intestine of housefly larvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cystoviridae sp.,2584979,6550,Apis Mellifera,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteriophage APSE-4,568990,14508,Aphis craccivora,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevibacillus phage Sundance,1691958,1877,honeybee debris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Wolbachia phage sr1WOdamA,1969991,3100,Simulium squamosum (E) larval BAC library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Virgibacillus phage Mimir87,2530052,5488,insect gut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Spiroplasma phage MaM-2019a,2585741,6553,Drosophila melanogaster (whole fly),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rahnella phage Sarma103,2910780,10708,insect gut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sphingomonas phage PAU,1150991,700,silkworms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
