,species_taxid,prev_index,isolation_source,287,562,1772,1773
0,,,,Pseudomonas aeruginosa,Escherichia coli,Mycolicibacterium smegmatis,Mycobacterium tuberculosis
Pseudomonas phage vB_Pae_BR326a,2563529,6365,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR322a,2563528,6364,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR320a,2563527,6363,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR319b,2563526,6362,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR313c,2563524,6360,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR313b,2563523,6359,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR313a,2563522,6358,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR299a,2563521,6357,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR243b,2563519,6356,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR243a,2563518,6355,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR233a,2563517,6354,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR228a,2563516,6353,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR213a,2563515,6352,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR208a,2563514,6351,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR205a,2563513,6350,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR204a,2563511,6349,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR201a,2563510,6348,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR200a,2563509,6347,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR197a,2563508,6346,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR181a,2563507,6345,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR178a,2563506,6344,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR161c,2563503,6343,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR161b,2563502,6342,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR161a,2563501,6341,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR153a,2563500,6340,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR150a,2563499,6339,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR144a,2563498,6338,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR143a,2563497,6337,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR141d,2563496,6336,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR141c,2563495,6335,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR141b,2563494,6334,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR141a,2563493,6333,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR123a,2563491,6331,lung of bronchiectasis patients,1,0,0,0
Pseudomonas phage vB_Pae_BR133a,2563492,6332,lung of bronchiectasis patients,1,0,0,0
